Jornada,Fecha,Equipo1,Logo1,Resultado,Equipo2,Logo2,Ver
Jornada 1,19/03/2021 21:00,Skorpion,img/LogoEquipos/Logo_Skorpion.png,Derrota,KRWJE X,img/LogoEquipos/Logo_KRWJE_X.png,https://youtu.be/1WhSZOtWufM?t=757
Jornada 1,19/03/2021 22:00,Legend,img/LogoEquipos/Logo_Legend.jpg,Victoria,Sikarios Imperiales,img/LogoEquipos/Logo_SIIM.png,https://youtu.be/1WhSZOtWufM?t=4357
Jornada 1,20/03/2021 20:00,Los titanes y sus porongas,img/LogoEquipos/Logo_TitanPoronguitas.png,Derrota,Los Pixa,img/LogoEquipos/Logo_LosPixa.png,https://youtu.be/MwlQ6naWGB4?t=434
Jornada 1,20/03/2021 21:00,DarkEngels,img/LogoEquipos/Logo_Darkengels.png,Victoria,Team EZ,img/LogoEquipos/Logo_TeamEZ.png,https://youtu.be/MwlQ6naWGB4?t=3986
Jornada 1,21/03/2021 19:00 ,Siim Latam,img/LogoEquipos/Logo_SIIMLATAM.png,Victoria,Nova Engels,img/LogoEquipos/Logo_EngelsOfNova.png,https://youtu.be/LOpnHRyB8ZM?t=701
Jornada 1,21/03/2021 20:00 ,Los Palmeras,img/LogoEquipos/Logo_LasPalmera.png,Victoria,Milicias de Sko,img/LogoEquipos/Logo_MiliciasSkorpion.png,https://youtu.be/LOpnHRyB8ZM?t=3333
Jornada 1,Descanso,New Age,img/LogoEquipos/Logo_NewAge.png,,,,
Jornada 2,26/03/2021 21:00,Los Pixa,img/LogoEquipos/Logo_LosPixa.png,Derrota,KRWJE X,img/LogoEquipos/Logo_KRWJE_X.png,https://youtu.be/cFrCotp4Ylw?t=3725
Jornada 2,26/03/2021 22:00,DarkEngels,img/LogoEquipos/Logo_Darkengels.png,Victoria,New Age,img/LogoEquipos/Logo_NewAge.png,https://youtu.be/cFrCotp4Ylw?t=364
Jornada 2,27/03/2021 20:00,Sikarios Imperiales,img/LogoEquipos/Logo_SIIM.png,Victoria,Milicias de Sko,img/LogoEquipos/Logo_MiliciasSkorpion.png,https://youtu.be/NtwGkM6R6Fg?t=676
Jornada 2,27/03/2021 21:00,Skorpion,img/LogoEquipos/Logo_Skorpion.png,Victoria,Nova Engels,img/LogoEquipos/Logo_EngelsOfNova.png,https://youtu.be/NtwGkM6R6Fg?t=4671
Jornada 2,28/03/2021 19:00 ,Los titanes y sus porongas,img/LogoEquipos/Logo_TitanPoronguitas.png,Derrota,Legend,img/LogoEquipos/Logo_Legend.jpg,https://youtu.be/-6U956VvA2I?t=963
Jornada 2,28/03/2021 20:00 ,Los Palmeras,img/LogoEquipos/Logo_LasPalmera.png,Derrota,Team EZ,img/LogoEquipos/Logo_TeamEZ.png,https://youtu.be/-6U956VvA2I?t=4586
Jornada 2,Descanso,Siim Latam,img/LogoEquipos/Logo_SIIMLATAM.png,,,,
Jornada 3,02/04/2021 19:00,Sikarios Imperiales,img/LogoEquipos/Logo_SIIM.png,Derrota,Team EZ,img/LogoEquipos/Logo_TeamEZ.png,https://youtu.be/RwddkNv7s_A?t=5968
Jornada 3,02/04/2021 20:00,DarkEngels,img/LogoEquipos/Logo_Darkengels.png,Derrota,Siim Latam,img/LogoEquipos/Logo_SIIMLATAM.png,https://youtu.be/RwddkNv7s_A?t=9560
Jornada 3,03/04/2021 19:00,Legend,img/LogoEquipos/Logo_Legend.jpg,Victoria,Milicias de Sko,img/LogoEquipos/Logo_MiliciasSkorpion.png,https://youtu.be/I7xcq0BNEv0?t=993
Jornada 3,03/04/2021 20:00,Los Pixa,img/LogoEquipos/Logo_LosPixa.png,Victoria,Nova Engels,img/LogoEquipos/Logo_EngelsOfNova.png,https://youtu.be/I7xcq0BNEv0?t=3532
Jornada 3,04/04/2021 18:00 ,Los titanes y sus porongas,img/LogoEquipos/Logo_TitanPoronguitas.png,Derrota,KRWJE X,img/LogoEquipos/Logo_KRWJE_X.png,https://youtu.be/rcLrEAemTWc?t=751
Jornada 3,04/04/2021 19:00 ,Los Palmeras,img/LogoEquipos/Logo_LasPalmera.png,Victoria,New Age,img/LogoEquipos/Logo_NewAge.png,https://youtu.be/rcLrEAemTWc?t=5606
Jornada 3,Descanso,Skorpion,img/LogoEquipos/Logo_Skorpion.png,,,,
Jornada 4,02/04/2021 21:00,Legend,img/LogoEquipos/Logo_Legend.jpg,Victoria,KRWJE X,img/LogoEquipos/Logo_KRWJE_X.png,https://youtu.be/RwddkNv7s_A?t=14076
Jornada 4,02/04/2021 22:00,Sikarios Imperiales,img/LogoEquipos/Logo_SIIM.png,Victoria,New Age,img/LogoEquipos/Logo_NewAge.png,https://youtu.be/RwddkNv7s_A?t=17687
Jornada 4,03/04/2021 21:00,Milicias de Sko,img/LogoEquipos/Logo_MiliciasSkorpion.png,Derrota,Team EZ,img/LogoEquipos/Logo_TeamEZ.png,https://youtu.be/I7xcq0BNEv0?t=7235
Jornada 4,03/04/2021 22:00,Los Palmeras,img/LogoEquipos/Logo_LasPalmera.png,Victoria,Siim Latam,img/LogoEquipos/Logo_SIIMLATAM.png,https://youtu.be/I7xcq0BNEv0?t=11015
Jornada 4,04/04/2021 20:00 ,Los titanes y sus porongas,img/LogoEquipos/Logo_TitanPoronguitas.png,Victoria,Nova Engels,img/LogoEquipos/Logo_EngelsOfNova.png,https://youtu.be/rcLrEAemTWc?t=7713
Jornada 4,04/04/2021 21:00 ,Skorpion,img/LogoEquipos/Logo_Skorpion.png,Derrota,DarkEngels,img/LogoEquipos/Logo_Darkengels.png,https://youtu.be/rcLrEAemTWc?t=12105
Jornada 4,Descanso,Los Pixa,img/LogoEquipos/Logo_LosPixa.png,,,,
Jornada 5,09/04/2021 20:00,Milicias de Sko,img/LogoEquipos/Logo_MiliciasSkorpion.png,Victoria,New Age,img/LogoEquipos/Logo_NewAge.png,Ausencia
Jornada 5,09/04/2021 21:00,KRWJE X,img/LogoEquipos/Logo_KRWJE_X.png,Victoria,Nova Engels,img/LogoEquipos/Logo_EngelsOfNova.png,https://youtu.be/pfdVF1SBYl0?t=272
Jornada 5,09/04/2021 22:00,Legend,img/LogoEquipos/Logo_Legend.jpg,Victoria,Team EZ,img/LogoEquipos/Logo_TeamEZ.png,Ausencia
Jornada 5,11/04/2021 19:00,Los Palmeras,img/LogoEquipos/Logo_LasPalmera.png,Victoria,Skorpion,img/LogoEquipos/Logo_Skorpion.png,https://youtu.be/mbKlrb3xleA?t=5548
Jornada 5,11/04/2021 20:00,Sikarios Imperiales,img/LogoEquipos/Logo_SIIM.png,Victoria,Siim Latam,img/LogoEquipos/Logo_SIIMLATAM.png,https://youtu.be/mbKlrb3xleA?t=8245
Jornada 5,11/04/2021 21:00,Los Pixa,img/LogoEquipos/Logo_LosPixa.png,Victoria,DarkEngels,img/LogoEquipos/Logo_Darkengels.png,https://youtu.be/mbKlrb3xleA?t=13144
Jornada 5,Descanso,Los titanes y sus porongas,img/LogoEquipos/Logo_TitanPoronguitas.png,,,,
Jornada 6,16/04/2021 21:00,Legend,img/LogoEquipos/Logo_Legend.jpg,,Nova Engels,img/LogoEquipos/Logo_EngelsOfNova.png,
Jornada 6,16/04/2021 22:00,Team EZ,img/LogoEquipos/Logo_TeamEZ.png,,New Age,img/LogoEquipos/Logo_NewAge.png,
Jornada 6,17/04/2021 20:00,Milicias de Sko,img/LogoEquipos/Logo_MiliciasSkorpion.png,,Siim Latam,img/LogoEquipos/Logo_SIIMLATAM.png,
Jornada 6,17/04/2021 21:00,Los titanes y sus porongas,img/LogoEquipos/Logo_TitanPoronguitas.png,,DarkEngels,img/LogoEquipos/Logo_Darkengels.png,
Jornada 6,18/04/2021 19:00 ,Sikarios Imperiales,img/LogoEquipos/Logo_SIIM.png,,Skorpion,img/LogoEquipos/Logo_Skorpion.png,
Jornada 6,18/04/2021 20:00 ,Los Pixa,img/LogoEquipos/Logo_LosPixa.png,,Los Palmeras,img/LogoEquipos/Logo_LasPalmera.png,
Jornada 6,Descanso,KRWJE X,img/LogoEquipos/Logo_KRWJE_X.png,,,,
Jornada 7,Fecha sin definir,Legend,img/LogoEquipos/Logo_Legend.jpg,,New Age,img/LogoEquipos/Logo_NewAge.png,
Jornada 7,Fecha sin definir,Team EZ,img/LogoEquipos/Logo_TeamEZ.png,,Siim Latam,img/LogoEquipos/Logo_SIIMLATAM.png,
Jornada 7,Fecha sin definir,KRWJE X,img/LogoEquipos/Logo_KRWJE_X.png,,DarkEngels,img/LogoEquipos/Logo_Darkengels.png,
Jornada 7,Fecha sin definir,Milicias de Sko,img/LogoEquipos/Logo_MiliciasSkorpion.png,,Skorpion,img/LogoEquipos/Logo_Skorpion.png,
Jornada 7,Fecha sin definir,Los titanes y sus porongas,img/LogoEquipos/Logo_TitanPoronguitas.png,,Los Palmeras,img/LogoEquipos/Logo_LasPalmera.png,
Jornada 7,Fecha sin definir,Sikarios Imperiales,img/LogoEquipos/Logo_SIIM.png,,Los Pixa,img/LogoEquipos/Logo_LosPixa.png,
Jornada 7,Descanso,Nova Engels,img/LogoEquipos/Logo_EngelsOfNova.png,,,,
Jornada 8,Fecha sin definir,New Age,img/LogoEquipos/Logo_NewAge.png,,Siim Latam,img/LogoEquipos/Logo_SIIMLATAM.png,
Jornada 8,Fecha sin definir,Nova Engels,img/LogoEquipos/Logo_EngelsOfNova.png,,DarkEngels,img/LogoEquipos/Logo_Darkengels.png,
Jornada 8,Fecha sin definir,Team EZ,img/LogoEquipos/Logo_TeamEZ.png,,Skorpion,img/LogoEquipos/Logo_Skorpion.png,
Jornada 8,Fecha sin definir,KRWJE X,img/LogoEquipos/Logo_KRWJE_X.png,,Los Palmeras,img/LogoEquipos/Logo_LasPalmera.png,
Jornada 8,Fecha sin definir,Milicias de Sko,img/LogoEquipos/Logo_MiliciasSkorpion.png,,Los Pixa,img/LogoEquipos/Logo_LosPixa.png,
Jornada 8,Fecha sin definir,Los titanes y sus porongas,img/LogoEquipos/Logo_TitanPoronguitas.png,,Sikarios Imperiales,img/LogoEquipos/Logo_SIIM.png,
Jornada 8,Descanso,Legend,img/LogoEquipos/Logo_Legend.jpg,,,,
Jornada 9,Fecha sin definir,Legend,img/LogoEquipos/Logo_Legend.jpg,,Siim Latam,img/LogoEquipos/Logo_SIIMLATAM.png,
Jornada 9,Fecha sin definir,New Age,img/LogoEquipos/Logo_NewAge.png,,Skorpion,img/LogoEquipos/Logo_Skorpion.png,
Jornada 9,Fecha sin definir,Nova Engels,img/LogoEquipos/Logo_EngelsOfNova.png,,Los Palmeras,img/LogoEquipos/Logo_LasPalmera.png,
Jornada 9,Fecha sin definir,Team EZ,img/LogoEquipos/Logo_TeamEZ.png,,Los Pixa,img/LogoEquipos/Logo_LosPixa.png,
Jornada 9,Fecha sin definir,KRWJE X,img/LogoEquipos/Logo_KRWJE_X.png,,Sikarios Imperiales,img/LogoEquipos/Logo_SIIM.png,
Jornada 9,Fecha sin definir,Milicias de Sko,img/LogoEquipos/Logo_MiliciasSkorpion.png,,Los titanes y sus porongas,img/LogoEquipos/Logo_TitanPoronguitas.png,
Jornada 9,Descanso,DarkEngels,img/LogoEquipos/Logo_Darkengels.png,,,,
Jornada 10,Fecha sin definir,Legend,img/LogoEquipos/Logo_Legend.jpg,,DarkEngels,img/LogoEquipos/Logo_Darkengels.png,
Jornada 10,Fecha sin definir,Siim Latam,img/LogoEquipos/Logo_SIIMLATAM.png,,Skorpion,img/LogoEquipos/Logo_Skorpion.png,
Jornada 10,Fecha sin definir,New Age,img/LogoEquipos/Logo_NewAge.png,,Los Pixa,img/LogoEquipos/Logo_LosPixa.png,
Jornada 10,Fecha sin definir,Nova Engels,img/LogoEquipos/Logo_EngelsOfNova.png,,Sikarios Imperiales,img/LogoEquipos/Logo_SIIM.png,
Jornada 10,Fecha sin definir,Team EZ,img/LogoEquipos/Logo_TeamEZ.png,,Los titanes y sus porongas,img/LogoEquipos/Logo_TitanPoronguitas.png,
Jornada 10,Fecha sin definir,KRWJE X,img/LogoEquipos/Logo_KRWJE_X.png,,Milicias de Sko,img/LogoEquipos/Logo_MiliciasSkorpion.png,
Jornada 10,Descanso,Los Palmeras,img/LogoEquipos/Logo_LasPalmera.png,,,,
Jornada 11,Fecha sin definir,Legend,img/LogoEquipos/Logo_Legend.jpg,,Skorpion,img/LogoEquipos/Logo_Skorpion.png,
Jornada 11,Fecha sin definir,DarkEngels,img/LogoEquipos/Logo_Darkengels.png,,Los Palmeras,img/LogoEquipos/Logo_LasPalmera.png,
Jornada 11,Fecha sin definir,Siim Latam,img/LogoEquipos/Logo_SIIMLATAM.png,,Los Pixa,img/LogoEquipos/Logo_LosPixa.png,
Jornada 11,Fecha sin definir,New Age,img/LogoEquipos/Logo_NewAge.png,,Los titanes y sus porongas,img/LogoEquipos/Logo_TitanPoronguitas.png,
Jornada 11,Fecha sin definir,Nova Engels,img/LogoEquipos/Logo_EngelsOfNova.png,,Milicias de Sko,img/LogoEquipos/Logo_MiliciasSkorpion.png,
Jornada 11,Fecha sin definir,Team EZ,img/LogoEquipos/Logo_TeamEZ.png,,KRWJE X,img/LogoEquipos/Logo_KRWJE_X.png,
Jornada 11,Descanso,Sikarios Imperiales,img/LogoEquipos/Logo_SIIM.png,,,,
Jornada 12,Fecha sin definir,Legend,img/LogoEquipos/Logo_Legend.jpg,,Los Palmeras,img/LogoEquipos/Logo_LasPalmera.png,
Jornada 12,Fecha sin definir,Skorpion,img/LogoEquipos/Logo_Skorpion.png,,Los Pixa,img/LogoEquipos/Logo_LosPixa.png,
Jornada 12,Fecha sin definir,DarkEngels,img/LogoEquipos/Logo_Darkengels.png,,Sikarios Imperiales,img/LogoEquipos/Logo_SIIM.png,
Jornada 12,Fecha sin definir,Siim Latam,img/LogoEquipos/Logo_SIIMLATAM.png,,Los titanes y sus porongas,img/LogoEquipos/Logo_TitanPoronguitas.png,
Jornada 12,Fecha sin definir,New Age,img/LogoEquipos/Logo_NewAge.png,,KRWJE X,img/LogoEquipos/Logo_KRWJE_X.png,
Jornada 12,Fecha sin definir,Nova Engels,img/LogoEquipos/Logo_EngelsOfNova.png,,Team EZ,img/LogoEquipos/Logo_TeamEZ.png,
Jornada 12,Descanso,Milicias de Sko,img/LogoEquipos/Logo_MiliciasSkorpion.png,,,,
Jornada 13,Fecha sin definir,Legend,img/LogoEquipos/Logo_Legend.jpg,,Los Pixa,img/LogoEquipos/Logo_LosPixa.png,
Jornada 13,Fecha sin definir,Los Palmeras,img/LogoEquipos/Logo_LasPalmera.png,,Sikarios Imperiales,img/LogoEquipos/Logo_SIIM.png,
Jornada 13,Fecha sin definir,Skorpion,img/LogoEquipos/Logo_Skorpion.png,,Los titanes y sus porongas,img/LogoEquipos/Logo_TitanPoronguitas.png,
Jornada 13,Fecha sin definir,DarkEngels,img/LogoEquipos/Logo_Darkengels.png,,Milicias de Sko,img/LogoEquipos/Logo_MiliciasSkorpion.png,
Jornada 13,Fecha sin definir,Siim Latam,img/LogoEquipos/Logo_SIIMLATAM.png,,KRWJE X,img/LogoEquipos/Logo_KRWJE_X.png,
Jornada 13,Fecha sin definir,New Age,img/LogoEquipos/Logo_NewAge.png,,Nova Engels,img/LogoEquipos/Logo_EngelsOfNova.png,
Jornada 13,Descanso,Team EZ,img/LogoEquipos/Logo_TeamEZ.png,,,,
